─── Behaviour-Cloning Warm Start ───
Expert      : stir(60.0, 80.0) light(900.0, 1000.0), harvest = clip(1.0*(od/0.015 - 1), 0, 0.3)
Demo mix    : {0: 0.4, 1: 0.4, 2: 0.2}
Episodes    : 24 | BC epochs: 10

  Calibrating VecNormalize with 2000 random steps...
[EnvDebug] Step: 4000, Active: 998, Mass: 104.71, OD: 0.0175, Turb: 17.1524, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.149, Done: False
[EnvDebug] Step: 4500, Active: 854, Mass: 104.36, OD: 0.0174, Turb: 17.1443, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.149, Done: False
[EnvDebug] Step: 5000, Active: 1429, Mass: 102.37, OD: 0.0171, Turb: 16.6258, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.150, Done: False
[EnvDebug] Step: 5500, Active: 1184, Mass: 97.93, OD: 0.0163, Turb: 16.2605, pH: 8.89, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.152, Done: False
[EnvDebug] Step: 6000, Active: 1181, Mass: 114.18, OD: 0.0190, Turb: 18.9047, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.143, Done: False
[EnvDebug] Step: 6500, Active: 995, Mass: 112.10, OD: 0.0187, Turb: 18.2507, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.144, Done: False
[EnvDebug] Step: 7000, Active: 812, Mass: 105.22, OD: 0.0175, Turb: 17.0913, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.149, Done: False
[EnvDebug] Step: 7200, Active: 1026, Mass: 111.50, OD: 0.0186, Turb: 18.4338, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.145, Done: True
  demo ep   2/24  D0  stir=  76.3 light=  991.3 mean_frac=0.078  steps=7200  harvested=   93.3mg  time_avg_od=0.0173
[EnvDebug] Step: 500, Active: 442, Mass: 33.47, OD: 0.0056, Turb: 5.5448, pH: 8.95, Shock: 0.99, Clump: 1.00, MeanX: 0.00, RGB: 0.98, Rew: 0.130, Done: False
[EnvDebug] Step: 1000, Active: 439, Mass: 42.03, OD: 0.0070, Turb: 7.0674, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.144, Done: False
[EnvDebug] Step: 1500, Active: 439, Mass: 53.45, OD: 0.0089, Turb: 8.9778, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.156, Done: False
[EnvDebug] Step: 2000, Active: 873, Mass: 67.25, OD: 0.0112, Turb: 10.9288, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.161, Done: False
[EnvDebug] Step: 2500, Active: 868, Mass: 84.91, OD: 0.0142, Turb: 13.9933, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.160, Done: False
[EnvDebug] Step: 3000, Active: 864, Mass: 106.94, OD: 0.0178, Turb: 17.5892, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.149, Done: False
