Loading model model_data/bc_warmstart/recurrent_ppo_genetic_ibm ...
[EnvDebug] Step: 7000, Active: 1185, Mass: 111.09, OD: 0.0185, Turb: 18.4221, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.145, Done: False
[EnvDebug] Step: 7200, Active: 1184, Mass: 119.09, OD: 0.0198, Turb: 19.8719, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.140, Done: True
  [  2/40] seed= 1001     init=  195  steps= 7200  crashed=False  harvested=   97.9mg  time_avg_od=0.0177
[EnvDebug] Step: 500, Active: 268, Mass: 20.32, OD: 0.0034, Turb: 3.4164, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.99, Rew: 0.098, Done: False
[EnvDebug] Step: 1000, Active: 267, Mass: 25.12, OD: 0.0042, Turb: 4.0852, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.98, Rew: 0.112, Done: False
[EnvDebug] Step: 1500, Active: 263, Mass: 30.69, OD: 0.0051, Turb: 5.0568, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.98, Rew: 0.125, Done: False
[EnvDebug] Step: 2000, Active: 524, Mass: 37.77, OD: 0.0063, Turb: 6.2855, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.99, Rew: 0.137, Done: False
[EnvDebug] Step: 2500, Active: 520, Mass: 46.24, OD: 0.0077, Turb: 7.6079, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.98, Rew: 0.149, Done: False
[EnvDebug] Step: 3000, Active: 518, Mass: 56.90, OD: 0.0095, Turb: 9.6177, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.158, Done: False
[EnvDebug] Step: 3500, Active: 515, Mass: 69.60, OD: 0.0116, Turb: 11.5656, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.162, Done: False
[EnvDebug] Step: 4000, Active: 1023, Mass: 84.56, OD: 0.0141, Turb: 13.9457, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.159, Done: False
[EnvDebug] Step: 4500, Active: 1018, Mass: 102.41, OD: 0.0171, Turb: 16.7306, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.151, Done: False
[EnvDebug] Step: 5000, Active: 964, Mass: 116.88, OD: 0.0195, Turb: 18.2476, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.142, Done: False
[EnvDebug] Step: 5500, Active: 1714, Mass: 124.98, OD: 0.0208, Turb: 18.7512, pH: 8.90, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.135, Done: False
[EnvDebug] Step: 6000, Active: 1707, Mass: 150.38, OD: 0.0251, Turb: 22.0966, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.116, Done: False
[EnvDebug] Step: 6500, Active: 1471, Mass: 156.47, OD: 0.0261, Turb: 21.7319, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.112, Done: False
[EnvDebug] Step: 7000, Active: 1283, Mass: 164.01, OD: 0.0273, Turb: 22.1135, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.107, Done: False
[EnvDebug] Step: 7200, Active: 1416, Mass: 176.69, OD: 0.0294, Turb: 23.3603, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.097, Done: True
  [  3/40] seed= 1002     init=  134  steps= 7200  crashed=False  harvested=   60.5mg  time_avg_od=0.0207
[EnvDebug] Step: 500, Active: 98, Mass: 7.04, OD: 0.0012, Turb: 1.1460, pH: 8.95, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.99, Rew: 0.046, Done: False
[EnvDebug] Step: 1000, Active: 97, Mass: 8.20, OD: 0.0014, Turb: 1.3826, pH: 8.95, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.99, Rew: 0.052, Done: False
[EnvDebug] Step: 1500, Active: 96, Mass: 9.63, OD: 0.0016, Turb: 1.4703, pH: 8.95, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.98, Rew: 0.058, Done: False
[EnvDebug] Step: 2000, Active: 96, Mass: 11.47, OD: 0.0019, Turb: 1.8737, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.98, Rew: 0.066, Done: False
[EnvDebug] Step: 2500, Active: 187, Mass: 13.57, OD: 0.0023, Turb: 2.2556, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.074, Done: False
[EnvDebug] Step: 3000, Active: 190, Mass: 16.06, OD: 0.0027, Turb: 2.6848, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.98, Rew: 0.083, Done: False
