seed,init_cells,steps,crashed,harvested_mg,time_avg_od
1000,117,7200,False,7.791518720000001,0.012636858969926834
1001,195,7200,False,74.99995852800001,0.016711341217160225
1002,134,7200,False,49.90315392000001,0.015233022160828114
1003,49,7200,False,23.119828096000003,0.012616878375411034
1004,321,7200,False,202.178713088,0.01842990517616272
1005,279,7200,False,224.47360563200004,0.01919037476181984
1006,128,7200,False,139.785123328,0.018702594563364983
1007,110,7200,False,41.65192192000001,0.014401844702661037
1008,374,7200,False,226.55884787200003,0.01850726455450058
1009,177,7200,False,176.922331136,0.01915000192821026
1010,79,7200,False,47.56232192,0.0143507681787014
1011,266,7200,False,250.10414233600002,0.019580654799938202
1012,104,7200,False,118.903042336,0.018163107335567474
1013,248,7200,False,289.90209024,0.020500553771853447
1014,215,7200,False,172.47997952000003,0.018477000296115875
1015,350,7200,False,128.611509248,0.017528722062706947
1016,33,7200,False,0.0,0.006628324277698994
1017,120,7200,False,112.297764992,0.01801852136850357
1018,173,7200,False,286.38529945600004,0.021977730095386505
1019,128,7200,False,120.84313676800002,0.01799299381673336
1020,102,7200,False,80.42872012800001,0.01647539623081684
1021,191,7200,False,176.98887245600002,0.01894541271030903
1022,344,7200,False,248.19176550400002,0.01883423514664173
1023,110,7200,False,100.241686528,0.017387941479682922
1024,51,7200,False,0.0,0.006341172847896814
1025,153,7200,False,142.312257088,0.018555959686636925
1026,133,7200,False,5.661367296000001,0.012518273666501045
1027,219,7200,False,136.41655808000002,0.017943380400538445
1028,121,7200,False,81.36127206399999,0.01638086885213852
1029,120,7200,False,157.538064384,0.019089743494987488
1030,138,7200,False,125.67005491200001,0.01839684322476387
1031,219,7200,False,148.080014336,0.018404819071292877
1032,156,7200,False,143.51681312,0.018551237881183624
1033,331,7200,False,202.07766732800005,0.018358131870627403
1034,116,7200,False,155.35847014400002,0.01899981126189232
1035,176,7200,False,140.62364672,0.018464146181941032
1036,264,7200,False,199.779129856,0.01893647387623787
1037,179,7200,False,165.32712857600004,0.018890254199504852
1038,210,7200,False,124.660175104,0.01813001185655594
1039,108,7200,False,42.400342016,0.014580159448087215
