seed,init_cells,steps,crashed,harvested_mg,time_avg_od
1000,117,7200,False,67.332303376,0.016092661768198013
1001,195,7200,False,148.60936089600003,0.018525125458836555
1002,134,7200,False,131.761658368,0.01871497929096222
1003,49,7200,False,41.411365888000006,0.013590313494205475
1004,321,7200,False,152.623780832,0.017857488244771957
1005,279,7200,False,170.39199948799998,0.01837233081459999
1006,128,7200,False,132.054244864,0.01841207966208458
1007,110,7200,False,204.75861248,0.020588088780641556
1008,374,7200,False,217.82225875199998,0.01846858486533165
1009,177,7200,False,171.61340723200004,0.01915990188717842
1010,79,7200,False,68.96996352,0.01565982587635517
1011,266,7200,False,195.27987276800005,0.018851369619369507
1012,104,7200,False,29.868080128,0.01369937602430582
1013,248,7200,False,129.981356032,0.018087666481733322
1014,215,7200,False,286.603985408,0.020848417654633522
1015,350,7200,False,180.04760320000003,0.018030669540166855
1016,33,7200,False,5.9763712,0.0111786387860775
1017,120,7200,False,82.774132224,0.016667835414409637
1018,173,7200,False,157.510934528,0.018767807632684708
1019,128,7200,False,26.142158336,0.014028357341885567
1020,102,7200,False,75.537072384,0.016379375010728836
1021,191,7200,False,174.924446528,0.018885644152760506
1022,344,7200,False,187.21728512,0.01817513443529606
1023,110,7200,False,90.48986726400001,0.017215250059962273
1024,51,7200,False,0.0,0.009437651373445988
1025,153,7200,False,104.144829824,0.017563985660672188
1026,133,7200,False,16.243913192,0.013205662369728088
1027,219,7200,False,117.02767654400002,0.017909644171595573
1028,121,7200,False,34.994849792,0.014448696747422218
1029,120,7200,False,58.01024614400001,0.01582144759595394
1030,138,7200,False,118.699488768,0.018037760630249977
1031,219,7200,False,159.849889536,0.018392642959952354
1032,156,7200,False,141.690910656,0.01864270679652691
1033,331,7200,False,186.575750144,0.018265945836901665
1034,116,7200,False,101.17958041600001,0.017465272918343544
1035,176,7200,False,142.63263846400002,0.01840352825820446
1036,264,7200,False,130.500176512,0.017851611599326134
1037,179,7200,False,102.63397376000002,0.017503976821899414
1038,210,7200,False,91.26975539200001,0.017382562160491943
1039,108,7200,False,115.04337692800001,0.017952291294932365
